#options: 640x360 fps=2500000/104271 timebase=104271/2500000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=980 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.52 tex:25410 mv:10002 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:37 out:38 type:b dur:2 cpbdur:2 q:24.55 tex:19746 mv:1708 misc:434 imb:30 pmb:142 smb:748 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:25.66 tex:45700 mv:1234 misc:698 imb:37 pmb:214 smb:669 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:25.31 tex:23509 mv:1595 misc:432 imb:17 pmb:127 smb:776 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:25.14 tex:14838 mv:1435 misc:407 imb:12 pmb:120 smb:788 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:25.48 tex:11980 mv:1149 misc:359 imb:12 pmb:100 smb:808 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:26.17 tex:58498 mv:2076 misc:962 imb:59 pmb:382 smb:479 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:25.91 tex:15359 mv:1412 misc:605 imb:10 pmb:147 smb:763 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:25.78 tex:10208 mv:1138 misc:334 imb:4 pmb:93 smb:823 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:26.04 tex:7739 mv:871 misc:454 imb:1 pmb:111 smb:808 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:25.74 tex:33852 mv:1637 misc:991 imb:57 pmb:306 smb:557 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:25.95 tex:5005 mv:612 misc:655 imb:2 pmb:135 smb:783 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:26.06 tex:3286 mv:401 misc:313 imb:3 pmb:46 smb:871 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:25.84 tex:3105 mv:383 misc:504 imb:0 pmb:86 smb:834 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:25.34 tex:12911 mv:660 misc:789 imb:17 pmb:190 smb:713 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:25.54 tex:739 mv:220 misc:513 imb:2 pmb:79 smb:839 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:25.64 tex:410 mv:96 misc:350 imb:0 pmb:45 smb:875 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:25.44 tex:276 mv:73 misc:307 imb:0 pmb:32 smb:888 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:24.59 tex:11710 mv:375 misc:715 imb:6 pmb:205 smb:709 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:24.33 tex:5361 mv:379 misc:620 imb:11 pmb:121 smb:788 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:24.15 tex:5215 mv:235 misc:566 imb:7 pmb:108 smb:805 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:23.88 tex:5937 mv:208 misc:551 imb:6 pmb:104 smb:810 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:23.61 tex:10535 mv:343 misc:770 imb:8 pmb:200 smb:712 d:- ref:0 ;
